"name","party","screen_name","class"
"del re emanuela claudia","m5s","ecdelre","D"
"delrio graziano","pd","graziano_delrio","D"
"del sesto margherita","m5s","margheritadelse","D"
"de luca piero","pd","piero_de_luca","D"
"de maria andrea","pd","andreademaria_","D"
"de martini guido","lega","guidodemartini","D"
"de menech roger","pd","rogerdemenech","D"
"de micheli paola","pd","paola_demicheli","D"
"d'eramo luigi","lega","luigi_deramo","D"
"de toma massimiliano","m-02","massimi28169820","D"
"d'ettore felice maurizio","fi",NA,"D"
"dieni federica","m5s","federicadieni","D"
"di giorgi rosa maria","pd","rosamdigiorgi","D"
"di lauro carmen","m5s","carmen_dila","D"
"di maio luigi","m5s","luigidimaio","D"
"di maio marco","iv","marcodimaio","D"
"di muro flavio","lega",NA,"D"
"d'inca' federico","m5s","federicodinca","D"
"d'ippolito giuseppe","m5s","pinodippo","D"
"di san martino lorenzato di ivrea luis roberto","lega","lorenzatoluis","D"
"di sarno gianfranco","m5s",NA,"D"
"di stasio iolanda","m5s","iolandadstasio","D"
"di stefano manlio","m5s","manliods","D"
"donina giuseppe cesare","lega",NA,"D"
"donno leonardo","m5s","leondonnom5s","D"
"donzelli giovanni","fdi","donzelli","D"
"dori devis","m5s","devisdori","D"
"d'orso valentina","m5s",NA,"D"
"durigon claudio","lega","claudiodurigon","D"
"d'uva francesco","m5s","f_duva","D"
"ehm yana chiara","m5s","ehmyana","D"
"emiliozzi mirella","m5s","mirellaemilioz1","D"
"epifani ettore guglielmo","leu","gu_epifani","D"
"ermellino alessandra","m5s","aermellino","D"
"fantinati mattia","m5s","mfantinati","D"
"fantuz marica","lega","maricafantuz","D"
"faro marialuisa","m5s","marialuisafaro","D"
"fasano vincenzo","fi",NA,"D"
"fascina marta antonia","fi",NA,"D"
"fassina stefano","leu","stefanofassina","D"
"fassino piero","pd","pierofassino","D"
"fatuzzo carlo","fi","carlo_fatuzzo","D"
"federico antonio","m5s","entonyromano","D"
"ferraioli marzia","fi","marferraioli","D"
"ferraresi vittorio","m5s","ferraresi_v","D"
"ferrari roberto paolo","lega","robertopaolofe1","D"
"ferri cosimo maria","iv","ferricosimo","D"
"ferro wanda","fdi","wanda_ferro","D"
"fiano emanuele","pd","emanuelefiano","D"
"ficara paolo","m5s",NA,"D"
"fico roberto","m5s","roberto_fico","D"
"fioramonti lorenzo","m-02","lofioramonti","D"
"fiorini benedetta","fi","bennyfiorini","D"
"fitzgerald nissoli fucsia","fi","fucsiausa","D"
"flati francesca","m5s","francesca_flati","D"
"fogliani ketty","lega","kettyfogliani","D"
"fontana gregorio","fi","greg_fontana","D"
"fontana ilaria","m5s","ilariafontana5s","D"
"fontana lorenzo","lega","fontana3lorenzo","D"
"forciniti francesco","m5s","fraforciniti","D"
"formentini paolo","lega",NA,"D"
"fornaro federico","leu","fornaro62","D"
"foscolo sara","lega","sarafoscolo","D"
"foti tommaso","fdi","tommasofoti","D"
"fraccaro riccardo","m5s","riccardo_fra","D"
"fragomeli gian mario","pd","gianmariofrago","D"
"frailis andrea","pd",NA,"D"
"franceschini dario","pd","dariofrance","D"
"frassinetti paola","fdi","frassinettip","D"
"frassini rebecca","lega","rebeccafrassini","D"
"frate flora","m-02","florafrate","D"
"fratoianni nicola","leu","nfratoianni","D"
"fregolent silvia","iv","silviafregolent","D"
"frusone luca","m5s","lucafrusone","D"
"furgiuele domenico","lega","domenicofurgiu1","D"
"fusacchia alessandro","m-05","fusacchia","D"
"gadda maria chiara","iv","mcgadda","D"
"gagliardi manuela","m-03","manusp73","D"
"gagnarli chiara","m5s","chiara_201181","D"
"galantino davide","fdi","davidegalantino","D"
"galizia francesca","m5s","francescagaliz3","D"
"galli dario","lega","dariogalli5","D"
"gallinella filippo","m5s","gallinella_f","D"
"gallo luigi","m5s","luigigallo15","D"
"garavaglia massimo","lega","massimogara","D"
